name,street,city,province,country,address_dump,postal_code,phone,hours,link,products,products_grown,products_pick
Hudson's Sweet Corn/Panmure Farms,2831 Upper Dwyer Hill Rd.,Kinburn,Ontario,Canada,"",K0A 2H0,613-839-2346,Open from July to August: 9:00am to 7:00pm; September to October: 11am to 6pm,"","beans, beets, corn, cucumbers, onions, peas, potatoes, pumpkins, squash, tomatoes","beans, beets, corn, cucumbers, onions, peas, potatoes, pumpkins, squash, tomatoes",""
Bill's Turkey Farm,2978 Holborn Rd.,Queensville,Ontario,Canada,"",L0G 1R0,905-478-4677,"Christmas, Thanksgiving, Easter",http://billsturkeyfarm.com,"","",""
Jardin Rochon Garden,1101 York's Corner's Road,Edwards,Ontario,Canada,"",K0A 1V0,613-821-3245,"7am to 6pm, 7 days a week",http://jardinrochongarden.ca,"beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, flowers, onions, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, flowers, onions, peppers, pumpkins, raspberries, squash, strawberries, tomatoes",strawberries
White Meadows Farms,2519 Effingham St.,St. Catharines,Ontario,Canada,"",L2R 6P7,905-682-0642,"Year-round: Maple Sweet Shop daily 9AM-5PM, Pancake House weekends 8:30AM-2PM, Sugar Bush Adventure - winter, Discover Maple Tour - summer/fall",http://www.whitemeadowsfarms.com,maple syrup/products,maple syrup/products,""
Meadow Sweet Farm,12102 Warden Ave.,Gormley,Ontario,Canada,"",L0H 1G0,416-574-6234,Open April to December,http://www.meadowsweetfarm.ca,"beans, beets, cucumbers, zucchini","beans, beets, cucumbers, zucchini",""
Clovermead Bees & Honey,11302 Imperial Road. (Hwy #73),Aylmer,Ontario,Canada,"",N5H 2R3,519-773-5503,"Monday to Saturday 9 a.m. to 5:30 p.m. In January & February 9-5 on Tuesdays, Fridays and Saturdays. Closed on Sundays while we take a rest and the bees keep working.....",http://www.clovermead.com,honey,honey,Maze
Shantz Family Farm,1544 Bleams Rd.,Petersburg,Ontario,Canada,"",N0B 2H0,519-634-5252,"Open mid-Sept until Nov 1st: Mon to Sat 8-8, Sun 12-6 *We are open Thanksgiving Monday 8-6*",http://shantzfarm.ca,"corn, cucumbers, gourds, pumpkins, squash, zucchini","corn, cucumbers, gourds, pumpkins, squash, zucchini",pumpkins
Rounds Ranch,1922 County Road 92,Elmvale,Ontario,Canada,"",L0L 1P0,705-322-6293,"Ranchland opens July 1st to the end of October, Tues. to Sat. 11am to 5pm. Adventure Cornfield Maze opens July 26th Pumpkin Mania September 27th to Oct. 26th Sat. & Sun. 11am to 5pm.",http://www.roundsranch.com,pumpkins,pumpkins,pumpkins
Waddell Apples,1345 Washburn Road,Kingston,Ontario,Canada,"",K0H 2N0,613-546-1690,Please check our website for operating information.,http://www.waddellapples.com,"apples, pies, pumpkins","apples, pumpkins","apples, pumpkins"
Lennox Farm,518024 County Road 124,Shelburne,Ontario,Canada,"",L0N 1S7,519-925-6444,"Open from June 30th to Labour Day, 8am to 8pm.","","peas, rhubarb",strawberries,""
Everdale Organic Farm & Environmental Learning Centre,5812 6th Line,Hillsburgh,Ontario,Canada,"",N0B 1Z0,519-855-4859,"Special events only, see website for all the fun farm details!",http://www.everdale.org,Maze,"",""
Homestead Orchards,3961 Old Homestead Rd.,Sutton West,Ontario,Canada,"",L0E 1R0,905-722-5325,"Hours vary throughout the season, so please check our website or phone for hours and availability.",http://www.homesteadorchards.com,"apples, corn, honey, preserves, pumpkins, squash","apples, corn, pumpkins, squash",apples
Goats in Motion,1988 Hwy 5 West,Troy,Ontario,Canada,"",L0R 2B0,905-928-6603,"Open year round, 9 to 5",http://www.goatsinmotion.com,beef,beef,""
Sunnivue Farm Inc.,27093 New Ontario Rd.,Ailsa Craig,Ontario,Canada,"",N0M 1A0,519-232-9096,"Open Fridays 3pm - 6pm, April to December Saturdays 9am - 4pm.",http://www.sunnivue-farm.on.ca,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, corn, eggplant, eggs, flowers, grapes, honey, onions, peaches, pears, peas, peppers, plums, pumpkins, squash, strawberries, tomatoes, vegetables","beans, beets, cabbage, carrots, corn, eggplant, eggs, flowers, onions, peas, peppers, pumpkins, squash, tomatoes, vegetables",""
Warner's Farm,4045 John St.,Beamsville,Ontario,Canada,"",L0R 1B1,"","","","apples, apricots, cherries, grapes, nectarines, peaches, pears, plums","",""
Red Cat Farm,82560 Bluewater Hwy,Goderich,Ontario,Canada,"",N7A 3X9,519-524-1283,Open on Friday 9am to 6pm year round.,"",potatoes,potatoes,""
Shouldice Berry Farm & Market,3 locations in Ottawa,Ottawa,Ontario,Canada,"",K0A 2Z0,"","",http://www.shouldicefarm.com,"pumpkins, raspberries, strawberries, tomatoes","raspberries, strawberries",""
Integrated Farms,5091 Line 10,Coldwater,Ontario,Canada,"",L0K 1E0,705-838-0551,By appointment only please.,http://www.ifarmfresh.ca,"beef, eggs, pork, poultry/chicken","beef, eggs, pork, poultry/chicken",""
Fulton's Pancake House & Sugar Bush,399 Sugar Bush Rd.,Pakenham,Ontario,Canada,"",K0A 2X0,613-256-3867,"9 am to 5 pm, 7 days a week from third week in February to third week in April. Maple Shoppe is open Tuesdays and Thursdays, 10am to 3pm from May to January",http://www.fultons.ca,"","",""
From the Meadow,3881 Avon Dr.,Belmont,Ontario,Canada,"",N0L 1B0,519-269-3961,Monday to Friday 9-5,http://www.fromthemeadow.com,"apples, beets, cherries, currants, flowers, herbs, honey, peaches, pears, peppers, pumpkins, raspberries","",""
Peart's Strawberry Farm,3545 River Rd.,Caledonia,Ontario,Canada,"",N3W 2E6,905-765-2027,"Open from June 10 to July 7, 7:30 am to 7:30 pm, Closed Sundays",http://www.peartstrawberryfarm.com,"pears, strawberries","pears, strawberries",strawberries
McLean Berry Farm,"2191 16th Line of Smith, RR #1",Lakefield,Ontario,Canada,"",K0L 2H0,705-657-2134,"Open from March 12 to April 6 AND June 16 to October 7, hours vary through the season, call first or check on web site for further information.",http://www.mcleanberryfarm.com,"beans, blueberries, currants, gooseberries, peas, pies, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes","beans, currants, gooseberries, peas, strawberries",""
Grassroots CSA,"736 Bruce Rd. 86, RR#1",Lucknow,Ontario,Canada,"",N0G 2H0,519-528-5374,"CSA farm pick up on Mondays and Thursdays, delivery is also available",http://www.grassrootsruralretreat.com,vegetables,"",""
Harris Farms,3216 George Johnston Rd.,Barrie,Ontario,Canada,"",L4M 4S4,705-725-2023,"9:30am to 8:00pm, 7 days a week",http://www.harrisfarms.ca,"beans, beets, carrots, corn, cucumbers, onions, peppers, pumpkins, squash, strawberries, tomatoes","beans, beets, carrots, corn, cucumbers, onions, peppers, pumpkins, squash, strawberries, tomatoes",""
Sovereign Farms,130 Lutesville Rd.,Norfolk,Ontario,Canada,"",N0E 1Y0,519-443-4061,Open May 1 to October 15th,http://www.sovereignfarms.ca,"cucumbers, peas, peppers, raspberries, squash, zucchini","",""
Staite's Honey Enterprise,244 Ashworth Rd.,Zephyr,Ontario,Canada,"",L0E 1T0,905-473-3401,"",http://www.staites-honey.com,honey,honey,""
Daniel's Farm,73 Stephen Drive,Etobicoke,Ontario,Canada,"",M8Y 3M8,416-503-2474,"","","","",""
Strawberry Creek Farms,118 Crittenden Drive,Keswick,Ontario,Canada,"",L4P 4A3,905-656-7127,"","","","",""
Berry Hill Fruit Farm,48937 Glencolin Line,Aylmer,Ontario,Canada,"",N5H 2R6,519-765-1752,"Open from June to November, 8am - 6pm",http://www.berryhillfruitfarm.ca,"apples, beans, beets, corn, onions, peaches, pears, peppers, plums, pumpkins, raspberries, strawberries, tomatoes","apples, beans, beets, corn, gourds, onions, peaches, pears, peppers, plums, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes","pumpkins, strawberries"
Stonehaven Farm Market,"7388 Guelph Line, RR #3",Campbellville,Ontario,Canada,"",L0P 1B0,905-878-1870,"June, July, September and October, 9am - 5pm Monday to Saturday, Sunday 10am to 5pm, last maze and PYO entry 4:00 pm, check website for exact opening and closing dates",http://www.stonehavenfarms.com,"apples, asparagus, blueberries, cheese, cucumbers, honey, onions, peaches, pears, potatoes, pumpkins, raspberries, strawberries, tomatoes","gourds, pumpkins, raspberries, strawberries","pumpkins, strawberries"
Mountainoak Cheese Ltd.,3165 Huron Rd.,New Hamburg,Ontario,Canada,"",N3A 3C3,519-662-4967,Friday and Saturday 9am to 5pm,http://www.mountainoakcheese.ca,"","",""
The Farm-acy,148 6th Concession Rd. E.,Millgrove,Ontario,Canada,"",L0R 1V0,905-689-5466,"Monday to Friday 2pm to 6pm, Saturday 10am to 5pm, Sunday 11am to 5pm",http://www.thefarm-acy.com,"asparagus, beans, beets, broccoli, carrots, cauliflower, corn, cucumbers, eggplant, garlic, herbs, lettuce, melons, onions, peas, peppers, potatoes, pumpkins, raspberries, rhubarb, rutabaga, spinach, squash, strawberries, tomatoes, watermelons, zucchini","asparagus, beans, beets, broccoli, carrots, cauliflower, corn, cucumbers, eggplant, garlic, herbs, lettuce, melons, onions, peas, peppers, potatoes, pumpkins, raspberries, rhubarb, rutabaga, spinach, squash, strawberries, tomatoes, watermelons, zucchini",""
Jennen Family Farm Market,"11775 Baseline Rd., RR #7",Thamesville,Ontario,Canada,"",N0P 2K0,519-692-5971,Open 8 to 8 seasonally from May to October.,http://www.jennenfarmmarket.com,"cucumbers, peppers, pumpkins, squash, strawberries, tomatoes","cucumbers, peppers, strawberries, tomatoes",""
Martin's Family Fruit Farm Ltd.,"1420 Lobsinger Line,",Waterloo,Ontario,Canada,"",N2J 4G8,519-664-2750,"Open year round, Mon. to Fri. from 8:00 to 6:00, Saturday 8:00 to 4:00, closed on Sundays",http://www.martinsapples.com,"apples, beans, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, cider, corn, cucumbers, eggplant, grapes, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, grapes, peaches, pears",""
Fraberts Fresh Food,"105 Queen Street West, Unit #3",Fergus,Ontario,Canada,"",N1M 1F6,519-843-2456,Open Year Round,http://www.frabertsfreshfood.com,"","",""
Hewitt's Sweet Corn,"3331 Townline, RR #5",Coldwater,Ontario,Canada,"",L0K 1E0,"","","","beans, blueberries, cucumbers, onions, peaches, peppers, tomatoes","gourds, pumpkins, squash",""
Linton's Farm Market,571 Raglan Rd. E.,Oshawa,Ontario,Canada,"",L1H 7K4,905-655-6338,"Market is open from June to October 31st, 8am to 8pm daily.",http://www.lintonsfarmmarket.com,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, broccoli, cabbage, carrots, cauliflower, corn, cucumbers, onions, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","pumpkins, raspberries, strawberries"
Murphy's Farm Market and Bakery,5163 Simcoe Rd. 10,Alliston,Ontario,Canada,"",L9R 1V2,705-435-2141,"Monday-Friday 9-6, Saturday 9-5, Sunday 10-5 from May until October and Fridays and Saturdays in November and December",http://www.murphysfarmmarket.com,milk,"asparagus, beans, beets, blueberries, lettuce, peas, peppers, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes",pumpkins
Wholesome Pickins,472 Church St. E.,Delhi,Ontario,Canada,"",N4B 1V3,519-582-1114,"Open from June to October 31, 8am to 8pm daily.",http://www.wholesomepickins.ca,"peppers, pumpkins, raspberries, strawberries, tomatoes, watermelons","peppers, pumpkins, raspberries, strawberries, tomatoes, watermelons",strawberries
Godelie Family Farm,225754 Otterville Rd.,Otterville,Ontario,Canada,"",N0J 1R0,"","","","beans, beets, carrots, corn, cucumbers, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, carrots, corn, cucumbers, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","raspberries, strawberries"
Carl Fletcher,3 Applegate Lane,St. Thomas,Ontario,Canada,"",N5P 3S8,519-633-1902,"","","","",""
Tincap Berry Farm,4035 County Rd. 29,Brockville,Ontario,Canada,"",K6V 5T4,613-345-3096,"May-June 7:00am to 8:00pm, Aug - Oct 8:00am to 6pm",http://www.tincapberryfarm.ca,"apples, raspberries, strawberries","peas, raspberries, strawberries, tomatoes",""
Snyders Family Farm Ltd.,936685 Blenheim Rd.,Bright,Ontario,Canada,"",N0J 1B0,519-465-1657,Nursery open from April 30 - June 15; Sept-Oct Saturday & Sunday 11am - 5pm; call for summer hours.,http://www.snydersfamilyfarm.com,pumpkins,"corn, pumpkins",pumpkins
DeVries Fruit Farm,"825 Canboro Rd., PO Box 143",Fenwick,Ontario,Canada,"",L0S 1C0,"","","","","",""
Kilmarnock Orchard,1182 Kilmarnock Rd.,Jasper,Ontario,Canada,"",K0G 1G0,613-283-4422,"August to October 9:00am to 5:00pm, 7 days a week during the season","","apples, honey",apples,apples
Cherrylane,4230 Victoria Avenue,Vineland,Ontario,Canada,"",L0R 2E0,905-562-4337,"",http://www.cherrylane.net,"cherries, peaches","cherries, peaches, pears",""
R Family Farm,3560 3rd Line,Cookstown,Ontario,Canada,"",L0L 1L0,705-812-2373,"Open from late June to September, call or visit website for hours of operation",http://www.rfamilyfarm.ca,"beans, blackberries, honey, peas, raspberries, strawberries","beans, blackberries, honey, peas, raspberries, strawberries","beans, blackberries, peas, raspberries, strawberries"
Howe Family Farm Market,7841 Rodgers Road,Aylmer,Ontario,Canada,"",N5H 2R4,519-773-3837,"8am to 6pm, 7 days a week","","apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, flowers, honey, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, corn, cucumbers, honey, onions, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes",""
Traynor Beef Farms,2193 County Rd. #2,Peterborough,Ontario,Canada,"",K9J 6X9,705-876-0044,"January to March: Saturday 12-5pm, April to December: Thursday to Saturday 12-5pm",http://www.traynorbeeffarms.ca,"beef, corn, pumpkins","beef, corn, pumpkins",""
Potters Road Berries,"145476 Potters Road, RR #2",Tillsonburg,Ontario,Canada,"",N4G 4G7,"","","","raspberries, strawberries","raspberries, strawberries","raspberries, strawberries"
River Road Farms,652 River Road,Lindsay,Ontario,Canada,"",K9V 4R4,705-344-0399,call ahead for a farm visit,http://riverroadfarms.ca,"blueberries, garlic, tomatoes, watermelons","blueberries, garlic, tomatoes, watermelons",""
Bauman Apiaries,6927 Nicklin St.,Millbank,Ontario,Canada,"",N0K 1L0,519-595-4885,"Open Thursdays, Fridays and Saturdays. Other days by chance","",honey,honey,""
Burrow/Kosir Farm,6325 Fifth Line,Fergus,Ontario,Canada,"",N1M 2W5,519-362-1585,Open year round,http://www.jewelsunderthekilt.com,"apples, cherries, pears, raspberries","",""
SamGra Acres,3764 Windham West Quarter Town Line,LaSalette,Ontario,Canada,"",N0E 1H0,519-427-7125,"Open from May 1 to June 30, daily from 7:00 to 6:00.",http://www.samgraacres.ca,"asparagus, garlic","asparagus, garlic",""
Oakridge Acres Country Meat Store,"2132 Greenfield Rd., RR #1",Ayr,Ontario,Canada,"",N0B 1E0,519-632-7653,"Tuesday, Wednesday, Friday 10-6, Thursday 10-8 and Saturday 9-4",http://www.oakridgeacres.ca,"eggs, lamb, pork, preserves","",""
Leaping Deer Adventure Farm & Market,544212 Clarke Rd.,Ingersoll,Ontario,Canada,"",N5C 3J8,519-485-4795,Opening Saturday June 11th. Open every Saturday and Sunday in June and July 11-5. August Wed.-Sun. 11-5 September and October Wed.-Sun. 11-5 including hol. Mon. Nov. and Dec. Sat. 10-3,http://www.leapingdeer.com,Maze,"",""
West Moira Orchards/McCaw Farms,537 Moira St. West,Belleville,Ontario,Canada,"",K0K 2C0,613-962-8228,"",http://www.westmoiraorchards.ca,"broccoli, cabbage, cauliflower, cherries, cider, flowers, peaches, pears, peas, plums, preserves","apples, beans, beets, blueberries, carrots, corn, cucumbers, currants, grapes, onions, peppers, pumpkins, raspberries, squash, strawberries, tomatoes, turnip","blueberries, raspberries, tomatoes"
Organics Family Farm,7550 19th Avenue,at Reesor Rd.,"","",at Reesor Rd.,"Markham,  
		Ontario,  
		Canada",905-640-5206,"Open from June to October. Hours vary within the season, please call ahead.",http://www.organicsfarm.ca,"raspberries, strawberries","currants, raspberries, strawberries","raspberries, strawberries"
Fields on West Lake,15786 Loyalist Parkway,Bloomfield,Ontario,Canada,"",K0K 1G0,"","",http://www.fieldsonwestlake.com,"apples, currants, gooseberries, pears, raspberries","apples, corn, currants, gooseberries, pears, raspberries","apples, currants, gooseberries, pears, raspberries"
Fort Rose Maple Company,"27382 Coldstream Rd.,",Parkhill,Ontario,Canada,"",N0M 2K0,519-232-9041,"Maple syrup available year round. Pancake house is open from Feb. 28 to April 5, 9am to 2 pm. Open March Break, March 16-20 9am - 2pm.",http://www.fortrose.ca,"","",""
The Red Barn Fruit Farm,8651 Townsend Line,Arkona,Ontario,Canada,"",N0M 1B0,"","",http://www.redbarnfruitfarm.com,"apples, apricots, cherries, cider, corn, cucumbers, onions, peaches, pears, peppers, plums, pumpkins, squash, tomatoes","apples, apricots, cherries, peaches, pears, plums, pumpkins, squash",""
Binnendyk Orchard,332700 Plank Line,Tillsonburg,Ontario,Canada,"",N4G 4H1,519-688-9091,MOnday to Saturday 8am to 6pm,"","apples, corn, honey, pumpkins, squash","apples, corn, honey, pumpkins, squash",""
Torry Lane Farm-Mille de Fleurs,1281 10th Concession West,RR#3,"","",RR#3,"Puslinch,  
		Ontario,  
		Canada",905-659-3219,By appointment,http://www.milledefleurs.ca,lavender,"",""
Rutherford's Farm & Roadside Market,205 King Street East,Colborne,Ontario,Canada,"",K0K 1S0,"","",http://www.ruralroutes.com/rutherfords,"cheese, cider, corn, flowers, honey, onions, peaches, pears, plums","apples, beans, beets, broccoli, cabbage, cauliflower, cucumbers, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes",strawberries
Applewood Farm Winery,12416 McCowan Rd.,Stouffville,Ontario,Canada,"",L4A 7X5,"","",http://www.applewoodfarmwinery.com,"apples, pumpkins, strawberries, wine","apples, pumpkins, raspberries, strawberries","apples, pumpkins, raspberries, strawberries"
Marlin Orchards & Garden Centre,6864 Orchard Rd.,South Glengarry (Cornwall),Ontario,Canada,"",K6H 5R5,613-931-1213,"Open March to December, 7 days a week.",http://www.marlinorchards.com,"apples, cherries, pears, plums, pumpkins","apples, cherries, pears, plums, pumpkins",apples
Mosborough Country Market,5284 Wellington County Rd 32,at the corner of Speedville Ave WEST,"","",at the corner of Speedville Ave WEST,"Guelph,  
		Ontario,  
		Canada","","",http://www.mosboroughmarket.ca,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, currants, flowers, grapes, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","corn, pumpkins",""
Rowen's,121 Robinson Rd.,Waterford,Ontario,Canada,"",N0E 1Y0,"","","","","",""
Powell's Patch Blueberries,"37 Gilbert Rd., RR #3",Simcoe,Ontario,Canada,"",N3Y 4K2,"","","",blueberries,blueberries,blueberries
Dickey Bee Honey Inc.,4031 3rd Line,Cookstown,Ontario,Canada,"",L0L 1L0,705-458-1258,Tuesday to Friday ~ 10am to 6pm. Saturday ~ 10-5pm. Sunday ~ 10-4pm,http://www.dickeybeehoney.com,honey,honey,Groups
Meleg's Lakeview Orchard,158 Arner Townline,Kingsville,Ontario,Canada,"",N9Y 2E6,519-733-4857,"Open year round - Monday to Friday 9am to 6pm, weekends 10am to 5pm",http://www.melegpyofruit.com,"apples, beans, cherries, cider, corn, onions, peaches, peppers, plums, pumpkins, strawberries, tomatoes","apples, beans, cherries, corn, onions, peaches, peppers, plums, pumpkins, strawberries, tomatoes","apples, blackberries, cherries, peaches, raspberries, strawberries"
Steckle's Produce and Flowers,5857 Hwy 89,RR1,"","",RR1,"Harriston,  
		Ontario,  
		Canada",519-338-5381,We are open from May to October. 6 days/week from 9am to 7pm. Closed on Sundays,http://www.steckles.ca,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, flowers, melons, onions, peaches, pears, peas, peppers, plums, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, cabbage, carrots, corn, cucumbers, flowers, onions, peas, peppers, squash, strawberries, tomatoes",""
Hotchkiss Homestead,51240 John Wise Line,Aylmer,Ontario,Canada,"",N5H 2R3,519-765-2130,"","","asparagus, beans, beets, blueberries, cabbage, carrots, corn, eggs, flowers, honey, lettuce, melons, peppers, pumpkins, raspberries, squash, tomatoes","",""
Adel Farms Inc.,4172 Tecumseh Line,Tilbury,Ontario,Canada,"",N0P 2C0,519-360-6675,"","","beets, carrots, corn, onions, peas, peppers, potatoes, pumpkins","",""
Hipple Farms Limited,"4275 Maple Grove Rd,",Lincoln,Ontario,Canada,"",L0R 1B1,905-562-4861,"Open from July 1st to the end of September, daily from 9am to 7 pm.",http://www.hipplefarms.ca,"apricots, cherries, grapes, nectarines, peaches, pears, plums, raspberries, tomatoes","",""
Pieter's Appleyard,"13516 County Rd. 2, RR #4",Colborne,Ontario,Canada,"",K0K 1S0,905-355-5725,"We are open from September 1 to October 31st, daily from 10am to 5pm including holidays.",http://www.pietersappleyard.com,"apples, pears, pumpkins, squash","apples, pears, pumpkins, squash","apples, pears"
Aylmer Big Apple Orchard Corp.,11766 Imperial Rd. RR #4,Aylmer,Ontario,Canada,"",N5H 2R3,519-773-2318,Daily 9 to 5,http://www.aylmerapple.com,"","",""
Kent Creek Orchard,1725 McDowell Rd. E.,Simcoe,Ontario,Canada,"",N3Y 4K5,519-426-6148,"Open 11-6 on Saturday and Sunday for August, September and October",http://kentcreekorchard.com,"apples, flowers, herbs, honey, lavender","apples, flowers, honey",""
Board's Honey Farm,6866 Hwy. 534,Nipissing,Ontario,Canada,"",P0H 1W0,705-729-2939,"By chance or request January-March, April - December 10 a.m. - 5 p.m. daily",http://www.boardshoneyfarm.com,honey,honey,""
Tigchelaar Berry Farms,4171 Jordan Rd.,Jordan,Ontario,Ontario,"",L0R 1S0,905-658-2265,"",http://www.tigchelaarberries.com,"apples, cucumbers, eggplant, pears, peas, peppers, strawberries, tomatoes",strawberries,""
R.V. Farm,7243 County Road 9,Napanee,Ontario,Canada,"",K7R 3K8,613-484-2595,Mid June to the end of October daily from 8am to 8pm,"","beans, pumpkins, squash, strawberries, tomatoes",pumpkins,""
O'Keefe Grange,1070 Conc. 2 Arran,RR #1 Dobbinton,Ontario,Canada,"",N0H 1L0,519-934-3673,"Open from March to December; Thursday and Friday: 12:00 to 5:00, Saturdays: 10:00 to 5:00<br /> DIRECTIONS: 1070 Conc 2 Arran Township<br /> Third Concession south of Tara, turn right, travel for 8 km, corner farm at Mount Hope corner","","apples, beans, currants, pears, peppers, pumpkins, squash, tomatoes","apples, beans, currants, pears, peppers, pumpkins, squash, tomatoes",""
Gallery on the Farm,1721 Regional Road 3,Enniskillen,Ontario,Canada,"",L0B 1J0,905-263-8245,Open year round -phone ahead or by chance,http://www.galleryonthefarm.com,corn,corn,""
Corn Acre Farms / Wendy's Country Market,1757 Summers Rd.,Lyndhurst,Ontario,Canada,"",K0E 1N0,613-928-2977,Year round - 10 a.m. - 5 p.m.,http://www.cornacrefarms.com,"beans, beets, broccoli, cider, corn, cucumbers, peppers, preserves, squash, tomatoes","beans, beets, broccoli, corn, cucumbers, peppers, potatoes, squash, tomatoes",""
Dingo Farms,3412 8th Line,Bradford,Ontario,Canada,"",L3Z 2A5,905-775-5520,"Year round - Saturday 9am - 3pm, rest of the week by appointment",http://www.dingofarms.com,"beef, lamb, pork","beef, lamb, pork",""
Moore Orchards,1497 Moore Orchard Road,Cobourg,Ontario,Canada,"",K9A 4J8,905-372-3911,"Open year round. Apples 10am-5pm Monday-Saturday 1-4 pm Sunday. Strawberries 8am-dusk Monday-Friday, 8am-4pm Saturday, 8am-12noon Sunday","","apples, blueberries, cider, corn, pears, preserves, pumpkins, raspberries, squash, strawberries","apples, blueberries, corn, pears, pumpkins, raspberries, squash, strawberries","apples, raspberries, strawberries"
The Farmer's Pantry,788030 Grey Road 13,Clarksburg,Ontario,Canada,"",N0H 1J0,519-599-3656,"Open July 3 - October 31, 2009 10am - 6pm",http://www.farmerspantry.com,preserves,"apples, beans, pumpkins, raspberries, squash","apples, beans, pumpkins, raspberries"
VanDorp Farms,3260 County Road 28,Port Hope,Ontario,Canada,"",L1A 3V6,905-885-0207,June 20 - August 20 8am - 8pm,"","raspberries, strawberries","raspberries, strawberries","raspberries, strawberries"
Freeman Herbs Inc.,4838 Lincoln Ave.,Beamsville,Ontario,Canada,"",L0R 1B3,"905-563-8890, x222","",http://www.freemanherbs.com,"","",""
Snowden Farms,1576 Concession Rd. 7,Enniskillen,Ontario,Canada,"",L0B 1J0,905-260-9596,Open year round.,http://www.allnaturalmeatpies.com,"","",""
Steed and Company Lavender,47589 Sparta Line,Aylmer,Ontario,Canada,"",N5H 2R4,"","",http://www.lavenderblue.ca,lavender,lavender,""
Geissberger Farmhouse Cider,5345 Langmaid Road,Mitchell's Corners,Ontario,Canada,"",L0B 1J0,905-725-4985,September 14 - December 31 Call ahead please,http://www.farmhousecider.ca,"","",""
Heatherlea Farm Shoppe,17049 Winston Churchill Blvd.,Caledon,Ontario,Canada,"",L7K 1J1,519-927-5902,Open all year - Mon. closed; Tues-Fri. 9-6 pm; Sat. 9-5 pm; Sun. 12-4 pm.,http://www.heatherlea.ca,"lamb, pork, pumpkins","",""
Tawse Winery,3955 Cherry Ave.,Vineland,Ontario,Canada,"",L0R 2C0,905-562-9500 x22,"",http://www.tawsewinery.ca,wine,"",""
Sunshine Farms,30043 Jane Road,Thamesville,Ontario,Canada,"",N0P 2K0,519-692-4416,Open May 1 - Sept 30 9-7,http://www.picklesplease.ca,"asparagus, vegetables","",""
Albion Orchards Apple Farm & Country Market,14800 Innis Lake Rd.,Caledon East,Ontario,Canada,"",L7C 2Y8,905-584-0354,"mid Aug - Dec 23, 10 am - 6 pm",http://www.albionorchards.com,"apples, fudge, pies, preserves, vegetables","apples, pears, pumpkins","apples, pears, pumpkins"
Barrie Hill Farms,"2935 Barrie Hill Rd., RR 2",Barrie,Ontario,Canada,"",L4M 4S4,705-728-0571,"May - Labour Day; Mkt Daily 8 am - 8 pm; PYO Mon - Fri 8 - 8; Sat, Sun, Hol. 8 - 4",http://www.barriehillfarms.com,"asparagus, beans, blueberries, cucumbers, peas, potatoes, raspberries, rhubarb, strawberries","beans, blueberries, peas, raspberries, strawberries","beans, blueberries, peas, raspberries, strawberries"
Brantview Apples & Cider,225 Howell Rd.,St. George,Ontario,Canada,"",N0E 1N0,519-448-1323,Sept. 1 - Oct. 31: daily; Nov - May: Fri only.,http://www.brantviewapples.on.ca,"apples, cider",apples,Maze
Hulshof Farm Market,5538 Bloomington Road,Stouffville,Ontario,Canada,"",L4A 7X3,905-640-1380,Our season is: Open Long weekend in May and close November 30th. Our daily hours of operation are: Mon. - Sun 9 a.m. - 6 p.m.,"","broccoli, cabbage, cauliflower","",""
Forsythe Family Farms 2009 Inc.,1025 Cragg Rd.,Uxbridge,Ontario,Canada,"",L9P 1R3,905-985-6749,May - Dec 24; hours vary with season; Host: School Groups,http://www.forsythefamilyfarms.com,"pumpkins, strawberries","apples, beans, peas, pumpkins, strawberries","beans, peas, pumpkins, strawberries"
