name,postal_code,phone,hours,link,products,products_grown,products_pick,formatted_address,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,lat,lng
Sahota Farms,L0N 1E0,,,,,,,"14392 Torbram Rd, Kleinburg, ON L0J, Canada",14392,Torbram Road,Caledon,Peel Regional Municipality,Ontario,Canada,43.8298768,-79.8365095
Korny Korners Farm,N7T 7H4,519-542-5232,Mid-June to Oct. 31 Mon-Fri 10am-6pm; Sat.9am-6pm; Sun.1pm-5pm,http://www.kornykornersfarm.ca,"apples, beans, blackberries, blueberries, honey, peaches, potatoes, pumpkins, raspberries, strawberries, tomatoes, zucchini","blackberries, gourds, pumpkins, raspberries, strawberries, tomatoes",pumpkins,"6193 Blackwell Side Rd, Sarnia, ON N7X, Canada",6193,Blackwell Side Road,Sarnia,Lambton County,Ontario,Canada,43.007139,-82.3205046
Elfsong Apiaries,K0K 3J0,,,,,,,"Tweed, ON K0K, Canada",,,Tweed,Hastings County,Ontario,Canada,44.474728,-77.310249
Strawberry Tyme Farms Inc.,N3Y 4K1,519-426-3099,,http://www.strawberrytyme.com,,,,"Simcoe, ON, Canada",,,Simcoe,Norfolk County,Ontario,Canada,42.8372632,-80.3040424
Meier Family Organic Farm,L3B 5N8,905-714-9690,winter hours - Saturdays only 10am-4pm. Check our website for summer hours,http://www.zetafarms.com,"honey, preserves",honey,,"191 River Rd, Welland, ON L3B 5N8, Canada",191,River Road,Welland,Niagara Regional Municipality,Ontario,Canada,42.969934,-79.3022673
Elberta Farms,N3L 3E1,,,http://www.elbertafarms.ca,"apples, cider, honey, pies, preserves, raspberries, strawberries","apples, cherries, cucumbers, currants, peppers, raspberries, strawberries, tomatoes","apples, cherries, cucumbers, currants, peppers, raspberries, strawberries, tomatoes","353 Governors Rd E, Paris, ON N3L 3E1, Canada",353,Governors Road East,Brant,Brant County,Ontario,Canada,43.2044754,-80.2838687
Bry-Anne Farms,L0S 1C0,,,,"apples, cider, peas, peppers, potatoes, preserves, pumpkins, raspberries, squash, strawberries, tomatoes","raspberries, strawberries, tomatoes","raspberries, strawberries, tomatoes","471 Foss Rd, Fenwick, ON L0S 1C0, Canada",471,Foss Road,Pelham,Niagara Regional Municipality,Ontario,Canada,43.0155972,-79.3291107
Wagon Wheel Produce & Corn Maze,N3Y 4K5,519-428-1083,"May - Asparagus; Aug 1st - Oct 31st: CORN MAZE July 28 - Aug Fridays & Saturday 10-10, Sunday 10-8; Sept & Oct Friday 5-10, Saturday 10-10, Sunday 10-8, Holiday Mondays Aug - October 10-8, closed after Halloween.",http://www.wagonwheelproduce.com,"asparagus, gourds, pumpkins, squash",pumpkins,pumpkins,"1371 Charlotteville 7 Rd, Simcoe, ON N3Y 4K1, Canada",1371,Charlotteville 7 Road,Simcoe,Norfolk County,Ontario,Canada,42.7889332,-80.3637597
Great Lakes Farms,N5L 1J2,519-782-3433,"Strawberries: Open daily 7 am - 7 pm Closed Sundays; Peach: Open 8am to 8pm daily, Apples: Open daily in October, weekends 10 am - 5 pm Sept - Nov",http://www.greatlakesfarms.ca,"apples, cider, peaches, strawberries","apples, peaches, pears, pumpkins","apples, pears, pumpkins","5111 Union Rd, Port Stanley, ON N5L 1J2, Canada",5111,Union Road,Port Stanley,Elgin County,Ontario,Canada,42.6924855,-81.2332634
McMaze,K0C 2A0,,,http://www.mcmaze.ca,"pumpkins, squash","pumpkins, squash","pumpkins, squash","17049 Willy Allan Rd, St Andrews West, ON K0C 2A0, Canada",17049,Willy Allan Road,Saint Andrews West,"Stormont, Dundas and Glengarry United Counties",Ontario,Canada,45.1267735,-74.8857502
Crinklaw Maple Products,N6L 1M9,519-457-4550,March 1 to Mid-April 10am-4pm (seven days a week); Other times of the year call ahead fro hours or check out the latest information on our website,http://www.crinklawmaplesyrup.com,,,,"4570 Westminster Dr, London, ON N6L 1M9, Canada",4570,Westminster Drive,London,Middlesex County,Ontario,Canada,42.8972521,-81.262995
Neubrand Country Produce,N0K 1P0,,,,,,,"6584 49 Line, Monkton, ON N0K 1P0, Canada",6584,49 Line,,Perth County,Ontario,Canada,43.5858782,-81.1553714
Cooper's CSA Farm & Maze,L0E 1T0,905-830-4521,"Open mid-June to Oct.31, Wed. to Sun. 10am to 7pm.",http://www.coopersfarm.ca,"beans, beets, carrots, corn, cucumbers, eggplant, melons, onions, peas, peppers, potatoes, preserves, pumpkins, squash, strawberries, tomatoes","beans, beets, carrots, corn, cucumbers, eggplant, melons, onions, peas, peppers, potatoes, pumpkins, squash, strawberries, tomatoes",Maze,"266 Ashworth Rd, Zephyr, ON L0E 1T0, Canada",266,Ashworth Road,Zephyr,Durham Regional Municipality,Ontario,Canada,44.1475422,-79.2518384
Farintosh Farms,L0H 1G0,,,http://www.farintosh.com,"apples, blueberries, carrots, cherries, onions, peaches, peppers, plums, pumpkins, squash, tomatoes","beans, broccoli, cabbage, carrots, cauliflower, corn, cucumbers, eggplant, peppers, pumpkins, squash, tomatoes","beans, broccoli, cabbage, cauliflower, corn, cucumbers, eggplant, peppers, pumpkins, squash, tomatoes","11858 Warden Ave, Gormley, ON L0H 1G0, Canada",11858,Warden Avenue,Gormley,York Regional Municipality,Ontario,Canada,43.936686,-79.3565713
Josmar Acres,L0R 1T0,519-647-2025,Open Year Round except for Sundays 8 a.m. to 6 p.m.,http://www.josmaracres.com,"apples, asparagus, beans, blueberries, corn, cucumbers, flowers, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, corn, cucumbers, flowers, peaches, pears, peppers, plums, pumpkins, raspberries, strawberries, tomatoes","peppers, raspberries, strawberries, tomatoes","568 Lynden Rd, Brantford, ON N3T 5M1, Canada",568,Lynden Road,Brantford,Brant County,Ontario,Canada,43.1910979,-80.1716396
Giffen's Country Market,L0M 1L0,,,,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, flowers, grapes, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, cherries, corn, cucumbers, peas, pumpkins, tomatoes",apples,"55 Station St, Glen Huron, ON L0M 1L0, Canada",55,Station Street,Glen Huron,Simcoe County,Ontario,Canada,44.352717,-80.171231
Barbetta Orchards Ltd.,N4L 0A7,,,,"apples, cherries, honey, peaches, pears, plums, pumpkins, raspberries, squash, strawberries","apples, cherries, peaches, pears, plums, pumpkins, raspberries, squash, strawberries","raspberries, strawberries","Meaford, ON, Canada",,,Meaford,Grey County,Ontario,Canada,44.6059438,-80.5936871
Avonmore Berry Farm Inc.,K0C 1C0,,,http://www.avonmoreberryfarm.com,"apples, beans, corn, cucumbers, pumpkins, raspberries, strawberries","apples, beans, corn, cucumbers, pumpkins, raspberries, strawberries","apples, pumpkins, raspberries, strawberries","16365 4 Rd, Avonmore, ON K0C 1C0, Canada",16365,4 Road,Avonmore,"Stormont, Dundas and Glengarry United Counties",Ontario,Canada,45.1906824,-74.9801289
Stanleys Olde Maple Lane Farm,K0A 1V0,,,http://www.stanleysfarm.com,Maze,,,"2452 York's Corners Rd, Edwards, ON K0A 1V0, Canada",2452,York's Corners Road,Edwards,Ottawa Division,Ontario,Canada,45.2819263,-75.4438012
Your Farm Market (YFM),N4S 8W3,519-535-2569,June 1 to October 31: 8 am to 6 pm,,"apples, beans, corn, melons",corn,,"1147 Dundas St, Woodstock, ON N4S 8W3, Canada",1147,Dundas Street,Woodstock,Oxford County,Ontario,Canada,43.1356898,-80.7237359
Richardson's Corn Maze & Farm Market,N1A 2W3,,,http://www.RichardsonsFarm.com,"corn, peas, preserves, pumpkins, raspberries, squash, strawberries, tomatoes","corn, peas, pumpkins, raspberries, squash, strawberries, tomatoes","pumpkins, raspberries, squash, strawberries, tomatoes","131 River Rd, Dunnville, ON N1A 2W3, Canada",131,River Road,,Haldimand County,Ontario,Canada,42.9180538,-79.7044705
Wheelbarrow Orchards/Harvest Goodies,L9T 2X7,905-878-6216,Open 10-4 weekdays in December,http://www.harvestgoodies.com,apples,apples,,"8277 10 Side Rd, Milton, ON L9T 2X9, Canada",8277,10 Side Road,Milton,Halton Regional Municipality,Ontario,Canada,43.5630085,-79.9453992
Mapleton's Organic Dairy Inc.,N0G 2K0,519-638-1115,Tuesday through Saturday 11am to 5pm.,http://www.mapletonsorganic.ca,Maze,,,"8548 Wellington Road 7, Moorefield, ON N0G 2K0, Canada",8548,Wellington Road 7,Moorefield,Wellington County,Ontario,Canada,43.8240282,-80.7375086
Hudson's Sweet Corn/Panmure Farms,K0A 2H0,613-839-2346,Open from July to August: 9:00am to 7:00pm; September to October: 11am to 6pm,,"beans, beets, corn, cucumbers, onions, peas, potatoes, pumpkins, squash, tomatoes","beans, beets, corn, cucumbers, onions, peas, potatoes, pumpkins, squash, tomatoes",,"2831 Upper Dwyer Hill Rd, Kinburn, ON K0A 2H0, Canada",2831,Upper Dwyer Hill Road,Kinburn,Ottawa Division,Ontario,Canada,45.3169044,-76.2052781
Bill's Turkey Farm,L0G 1R0,905-478-4677,"Christmas, Thanksgiving, Easter",http://billsturkeyfarm.com,,,,"2978 Holborn Rd, Queensville, ON L0G 1R0, Canada",2978,Holborn Road,East Gwillimbury,York Regional Municipality,Ontario,Canada,44.1695014,-79.407562
Jardin Rochon Garden,K0A 1V0,613-821-3245,"7am to 6pm, 7 days a week",http://jardinrochongarden.ca,"beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, flowers, onions, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, flowers, onions, peppers, pumpkins, raspberries, squash, strawberries, tomatoes",strawberries,"1101 York's Corners Rd, Edwards, ON K0A 1V0, Canada",1101,York's Corners Road,Edwards,Ottawa Division,Ontario,Canada,45.321304,-75.464271
White Meadows Farms,L2R 6P7,905-682-0642,"Year-round: Maple Sweet Shop daily 9AM-5PM, Pancake House weekends 8:30AM-2PM, Sugar Bush Adventure - winter, Discover Maple Tour - summer/fall",http://www.whitemeadowsfarms.com,maple syrup/products,maple syrup/products,,"2519 Effingham St, Ridgeville, ON L0S 1M0, Canada",2519,Effingham Street,Pelham,Niagara Regional Municipality,Ontario,Canada,43.0907103,-79.3124243
Meadow Sweet Farm,L0H 1G0,416-574-6234,Open April to December,http://www.meadowsweetfarm.ca,"beans, beets, cucumbers, zucchini","beans, beets, cucumbers, zucchini",,"12102 Warden Ave, Gormley, ON L0H 1G0, Canada",12102,Warden Avenue,Gormley,York Regional Municipality,Ontario,Canada,43.9433391,-79.3559903
Clovermead Bees & Honey,N5H 2R3,519-773-5503,"Monday to Saturday 9 a.m. to 5:30 p.m. In January & February 9-5 on Tuesdays, Fridays and Saturdays. Closed on Sundays while we take a rest and the bees keep working.....",http://www.clovermead.com,honey,honey,Maze,"Aylmer, ON, Canada",,,Aylmer,Elgin County,Ontario,Canada,42.7729381,-80.9828842
Shantz Family Farm,N0B 2H0,519-634-5252,"Open mid-Sept until Nov 1st: Mon to Sat 8-8, Sun 12-6 *We are open Thanksgiving Monday 8-6*",http://shantzfarm.ca,"corn, cucumbers, gourds, pumpkins, squash, zucchini","corn, cucumbers, gourds, pumpkins, squash, zucchini",pumpkins,"1544 Bleams Rd, Wilmot, ON N0B, Canada",1544,Bleams Road,,Waterloo Regional Municipality,Ontario,Canada,43.3944304,-80.5694234
Rounds Ranch,L0L 1P0,705-322-6293,"Ranchland opens July 1st to the end of October, Tues. to Sat. 11am to 5pm. Adventure Cornfield Maze opens July 26th Pumpkin Mania September 27th to Oct. 26th Sat. & Sun. 11am to 5pm.",http://www.roundsranch.com,pumpkins,pumpkins,pumpkins,"1922 County Rd 92, Elmvale, ON L0L 1P0, Canada",1922,County Road 92,Elmvale,Simcoe County,Ontario,Canada,44.5541924,-79.933158
Waddell Apples,K0H 2N0,613-546-1690,Please check our website for operating information.,http://www.waddellapples.com,"apples, pies, pumpkins","apples, pumpkins","apples, pumpkins","1345 Washburn Rd, Kingston, ON K0H, Canada",1345,Washburn Road,Kingston,Frontenac County,Ontario,Canada,44.3872995,-76.3245322
Lennox Farm,L0N 1S7,519-925-6444,"Open from June 30th to Labour Day, 8am to 8pm.",,"peas, rhubarb",strawberries,,"County Rd 124, Shelburne, ON L0N 1S6, Canada",,County Road 124,Shelburne,Simcoe County,Ontario,Canada,44.361886,-80.2119974
Everdale Organic Farm & Environmental Learning Centre,N0B 1Z0,519-855-4859,"Special events only, see website for all the fun farm details!",http://www.everdale.org,Maze,,,"5812 6 Line, Hillsburgh, ON N0B 1Z0, Canada",5812,6 Line,Erin,Wellington County,Ontario,Canada,43.7745966,-80.146349
Homestead Orchards,L0E 1R0,905-722-5325,"Hours vary throughout the season, so please check our website or phone for hours and availability.",http://www.homesteadorchards.com,"apples, corn, honey, preserves, pumpkins, squash","apples, corn, pumpkins, squash",apples,"3961 Old Homestead Rd, Georgina, ON L0E, Canada",3961,Old Homestead Road,Georgina,York Regional Municipality,Ontario,Canada,44.2649701,-79.3979945
Goats in Motion,L0R 2B0,905-928-6603,"Open year round, 9 to 5",http://www.goatsinmotion.com,beef,beef,,"1988 Hwy 5 W, Troy, ON L0R 2B0, Canada",1988,Highway 5 West,Hamilton,Hamilton Division,Ontario,Canada,43.2677142,-80.1430572
Sunnivue Farm Inc.,N0M 1A0,519-232-9096,"Open Fridays 3pm - 6pm, April to December Saturdays 9am - 4pm.",http://www.sunnivue-farm.on.ca,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, corn, eggplant, eggs, flowers, grapes, honey, onions, peaches, pears, peas, peppers, plums, pumpkins, squash, strawberries, tomatoes, vegetables","beans, beets, cabbage, carrots, corn, eggplant, eggs, flowers, onions, peas, peppers, pumpkins, squash, tomatoes, vegetables",,"27093 New Ontario Rd, Ailsa Craig, ON N0M 1A0, Canada",27093,New Ontario Road,Ailsa Craig,Middlesex County,Ontario,Canada,43.1320059,-81.5524667
Warner's Farm,L0R 1B1,,,,"apples, apricots, cherries, grapes, nectarines, peaches, pears, plums",,,"4045 John St, Beamsville, ON L0R 1B1, Canada",4045,John Street,Lincoln,Niagara Regional Municipality,Ontario,Canada,43.1730954,-79.427141
Red Cat Farm,N7A 3X9,519-524-1283,Open on Friday 9am to 6pm year round.,,potatoes,potatoes,,"82560 Bluewater Hwy, Goderich, ON N7A 3Y3, Canada",82560,Bluewater Highway,Goderich,Huron County,Ontario,Canada,43.8053335,-81.6995657
Shouldice Berry Farm & Market,K0A 2Z0,,,http://www.shouldicefarm.com,"pumpkins, raspberries, strawberries, tomatoes","raspberries, strawberries",,"Ottawa, ON, Canada",,,Ottawa,Ottawa Division,Ontario,Canada,45.4215296,-75.6971931
Integrated Farms,L0K 1E0,705-838-0551,By appointment only please.,http://www.ifarmfresh.ca,"beef, eggs, pork, poultry/chicken","beef, eggs, pork, poultry/chicken",,"5091 10 Line N, Coldwater, ON L0K 1E0, Canada",5091,10 Line North,Coldwater,Simcoe County,Ontario,Canada,44.6643054,-79.6307405
Fulton's Pancake House & Sugar Bush,K0A 2X0,613-256-3867,"9 am to 5 pm, 7 days a week from third week in February to third week in April. Maple Shoppe is open Tuesdays and Thursdays, 10am to 3pm from May to January",http://www.fultons.ca,,,,"399 Sugar Bush Rd, Pakenham, ON K0A 2X0, Canada",399,Sugar Bush Road,Pakenham,Lanark County,Ontario,Canada,45.2462359,-76.2968801
From the Meadow,N0L 1B0,519-269-3961,Monday to Friday 9-5,http://www.fromthemeadow.com,"apples, beets, cherries, currants, flowers, herbs, honey, peaches, pears, peppers, pumpkins, raspberries",,,"Avon Dr, Belmont, ON N0L 1B0, Canada",,Avon Drive,Belmont,Elgin County,Ontario,Canada,42.8907616,-81.0437249
Peart's Strawberry Farm,N3W 2E6,905-765-2027,"Open from June 10 to July 7, 7:30 am to 7:30 pm, Closed Sundays",http://www.peartstrawberryfarm.com,"pears, strawberries","pears, strawberries",strawberries,"3545 River Rd, Caledonia, ON N3W 2E6, Canada",3545,River Road,Caledonia,Haldimand County,Ontario,Canada,43.0176079,-79.8974558
McLean Berry Farm,K0L 2H0,705-657-2134,"Open from March 12 to April 6 AND June 16 to October 7, hours vary through the season, call first or check on web site for further information.",http://www.mcleanberryfarm.com,"beans, blueberries, currants, gooseberries, peas, pies, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes","beans, currants, gooseberries, peas, strawberries",,"2191 16 Line, Harcourt, ON K0L, Canada",2191,16 Line,Harcourt,Peterborough County,Ontario,Canada,44.5211676,-78.30991
Grassroots CSA,N0G 2H0,519-528-5374,"CSA farm pick up on Mondays and Thursdays, delivery is also available",http://www.grassrootsruralretreat.com,vegetables,,,"736 Bruce County Rd 86, Lucknow, ON N0G 2H0, Canada",736,Bruce County Road 86,Lucknow,,Ontario,Canada,43.9627303,-81.5197209
Harris Farms,L4M 4S4,705-725-2023,"9:30am to 8:00pm, 7 days a week",http://www.harrisfarms.ca,"beans, beets, carrots, corn, cucumbers, onions, peppers, pumpkins, squash, strawberries, tomatoes","beans, beets, carrots, corn, cucumbers, onions, peppers, pumpkins, squash, strawberries, tomatoes",,"3216 George Johnston Rd, Barrie, ON L4M 4S4, Canada",3216,George Johnston Road,Barrie,Simcoe County,Ontario,Canada,44.382363,-79.790364
Sovereign Farms,N0E 1Y0,519-443-4061,Open May 1 to October 15th,http://www.sovereignfarms.ca,"cucumbers, peas, peppers, raspberries, squash, zucchini",,,"130 Lutesville Rd, Waterford, ON N0E 1Y0, Canada",130,Lutesville Road,Waterford,Norfolk County,Ontario,Canada,42.976428,-80.2933567
Staite's Honey Enterprise,L0E 1T0,905-473-3401,,http://www.staites-honey.com,honey,honey,,"Ashworth Rd, Zephyr, ON L0E 1T0, Canada",,Ashworth Road,Zephyr,Durham Regional Municipality,Ontario,Canada,44.1544315,-79.2118619
Daniel's Farm,M8Y 3M8,416-503-2474,,,,,,"73 Stephen Dr, Etobicoke, ON M8Y 3M8, Canada",73,Stephen Drive,Toronto,Toronto Division,Ontario,Canada,43.6339789,-79.4855764
Strawberry Creek Farms,L4P 4A3,905-656-7127,,,,,,"118 Crittenden Dr, Keswick, ON L4P 4E7, Canada",118,Crittenden Drive,Georgina,York Regional Municipality,Ontario,Canada,44.1977766,-79.4590388
Berry Hill Fruit Farm,N5H 2R6,519-765-1752,"Open from June to November, 8am - 6pm",http://www.berryhillfruitfarm.ca,"apples, beans, beets, corn, onions, peaches, pears, peppers, plums, pumpkins, raspberries, strawberries, tomatoes","apples, beans, beets, corn, gourds, onions, peaches, pears, peppers, plums, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes","pumpkins, strawberries","48937 Glencolin Line, Aylmer, ON N5H 2R6, Canada",48937,Glencolin Line,Aylmer,Elgin County,Ontario,Canada,42.7917635,-80.9949515
Stonehaven Farm Market,L0P 1B0,905-878-1870,"June, July, September and October, 9am - 5pm Monday to Saturday, Sunday 10am to 5pm, last maze and PYO entry 4:00 pm, check website for exact opening and closing dates",http://www.stonehavenfarms.com,"apples, asparagus, blueberries, cheese, cucumbers, honey, onions, peaches, pears, potatoes, pumpkins, raspberries, strawberries, tomatoes","gourds, pumpkins, raspberries, strawberries","pumpkins, strawberries","7388 Guelph Line, Milton, ON L0P, Canada",7388,Guelph Line,Milton,Halton Regional Municipality,Ontario,Canada,43.4580966,-79.9412755
Mountainoak Cheese Ltd.,N3A 3C3,519-662-4967,Friday and Saturday 9am to 5pm,http://www.mountainoakcheese.ca,,,,"3165 Huron Rd, New Hamburg, ON N3A 3C3, Canada",3165,Huron Road,New Hamburg,Waterloo Regional Municipality,Ontario,Canada,43.3553813,-80.6430306
The Farm-acy,L0R 1V0,905-689-5466,"Monday to Friday 2pm to 6pm, Saturday 10am to 5pm, Sunday 11am to 5pm",http://www.thefarm-acy.com,"asparagus, beans, beets, broccoli, carrots, cauliflower, corn, cucumbers, eggplant, garlic, herbs, lettuce, melons, onions, peas, peppers, potatoes, pumpkins, raspberries, rhubarb, rutabaga, spinach, squash, strawberries, tomatoes, watermelons, zucchini","asparagus, beans, beets, broccoli, carrots, cauliflower, corn, cucumbers, eggplant, garlic, herbs, lettuce, melons, onions, peas, peppers, potatoes, pumpkins, raspberries, rhubarb, rutabaga, spinach, squash, strawberries, tomatoes, watermelons, zucchini",,"148 Concession Rd 6 E, Millgrove, ON L0R 1V0, Canada",148,Concession Road 6 East,Hamilton,Hamilton Division,Ontario,Canada,43.3519845,-79.9461405
Jennen Family Farm Market,N0P 2K0,519-692-5971,Open 8 to 8 seasonally from May to October.,http://www.jennenfarmmarket.com,"cucumbers, peppers, pumpkins, squash, strawberries, tomatoes","cucumbers, peppers, strawberries, tomatoes",,"11775 Base Line, Thamesville, ON N0P 2K0, Canada",11775,Base Line,Thamesville,Chatham-Kent Division,Ontario,Canada,42.5710019,-82.0911357
Martin's Family Fruit Farm Ltd.,N2J 4G8,519-664-2750,"Open year round, Mon. to Fri. from 8:00 to 6:00, Saturday 8:00 to 4:00, closed on Sundays",http://www.martinsapples.com,"apples, beans, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, cider, corn, cucumbers, eggplant, grapes, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","apples, grapes, peaches, pears",,"1420 Lobsinger Line, Waterloo, ON N2J 4G8, Canada",1420,Lobsinger Line,Waterloo,Waterloo Regional Municipality,Ontario,Canada,43.514875,-80.569213
Fraberts Fresh Food,N1M 1F6,519-843-2456,Open Year Round,http://www.frabertsfreshfood.com,,,,"105 Queen St W #3, Fergus, ON N1M 1T7, Canada",105,Queen Street West,Fergus,Wellington County,Ontario,Canada,43.7047071,-80.3769987
Hewitt's Sweet Corn,L0K 1E0,,,,"beans, blueberries, cucumbers, onions, peaches, peppers, tomatoes","gourds, pumpkins, squash",,"3331 Town Line, Coldwater, ON L0K 1E0, Canada",3331,Town Line,Coldwater,Simcoe County,Ontario,Canada,44.646786,-79.5338453
Linton's Farm Market,L1H 7K4,905-655-6338,"Market is open from June to October 31st, 8am to 8pm daily.",http://www.lintonsfarmmarket.com,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, broccoli, cabbage, carrots, cauliflower, corn, cucumbers, onions, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","pumpkins, raspberries, strawberries","571 Raglan Rd E, Oshawa, ON L1H 7K4, Canada",571,Raglan Road East,Oshawa,Durham Regional Municipality,Ontario,Canada,44.0202553,-78.8998112
Murphy's Farm Market and Bakery,L9R 1V2,705-435-2141,"Monday-Friday 9-6, Saturday 9-5, Sunday 10-5 from May until October and Fridays and Saturdays in November and December",http://www.murphysfarmmarket.com,milk,"asparagus, beans, beets, blueberries, lettuce, peas, peppers, potatoes, pumpkins, raspberries, squash, strawberries, tomatoes",pumpkins,"5163 County Rd 10, Alliston, ON L9R 1V2, Canada",5163,County Road 10,,Simcoe County,Ontario,Canada,44.1738194,-79.8321307
Wholesome Pickins,N4B 1V3,519-582-1114,"Open from June to October 31, 8am to 8pm daily.",http://www.wholesomepickins.ca,"peppers, pumpkins, raspberries, strawberries, tomatoes, watermelons","peppers, pumpkins, raspberries, strawberries, tomatoes, watermelons",strawberries,"472 Church St E, Delhi, ON N4B 1V3, Canada",472,Church Street East,Delhi,Norfolk County,Ontario,Canada,42.8563544,-80.4750562
Godelie Family Farm,N0J 1R0,,,,"beans, beets, carrots, corn, cucumbers, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, carrots, corn, cucumbers, peppers, pumpkins, raspberries, squash, strawberries, tomatoes","raspberries, strawberries","225754 Otterville Rd, Otterville, ON N0J 1R0, Canada",225754,Otterville Road,Otterville,Oxford County,Ontario,Canada,42.9298518,-80.5805169
Carl Fletcher,N5P 3S8,519-633-1902,,,,,,"3 Applegate Ln, St. Thomas, ON N5P 3S8, Canada",3,Applegate Lane,Saint Thomas,Elgin County,Ontario,Canada,42.7354574,-81.1968375
Tincap Berry Farm,K6V 5T4,613-345-3096,"May-June 7:00am to 8:00pm, Aug - Oct 8:00am to 6pm",http://www.tincapberryfarm.ca,"apples, raspberries, strawberries","peas, raspberries, strawberries, tomatoes",,"4035 County Rd 29, Elizabethtown-Kitley, ON K6T, Canada",4035,County Road 29,,Leeds and Grenville United Counties,Ontario,Canada,44.6208166,-75.7642953
Snyders Family Farm Ltd.,N0J 1B0,519-465-1657,Nursery open from April 30 - June 15; Sept-Oct Saturday & Sunday 11am - 5pm; call for summer hours.,http://www.snydersfamilyfarm.com,pumpkins,"corn, pumpkins",pumpkins,"936685 Blenheim Rd, Bright, ON N0J 1B0, Canada",936685,Blenheim Road,Bright,Oxford County,Ontario,Canada,43.3163066,-80.53765
DeVries Fruit Farm,L0S 1C0,,,,,,,"825 Canboro Rd, Fenwick, ON L0S 1C0, Canada",825,Canboro Road,Pelham,Niagara Regional Municipality,Ontario,Canada,43.0241935,-79.365028
Kilmarnock Orchard,K0G 1G0,613-283-4422,"August to October 9:00am to 5:00pm, 7 days a week during the season",,"apples, honey",apples,apples,"1182 Kilmarnock Rd, Jasper, ON K0G 1G0, Canada",1182,Kilmarnock Road,Jasper,Leeds and Grenville United Counties,Ontario,Canada,44.878507,-75.9315401
Cherrylane,L0R 2E0,905-562-4337,,http://www.cherrylane.net,"cherries, peaches","cherries, peaches, pears",,"4230 Victoria Ave, Vineland Station, ON L0R 2E0, Canada",4230,Victoria Avenue,Lincoln,Niagara Regional Municipality,Ontario,Canada,43.160087,-79.3933686
R Family Farm,L0L 1L0,705-812-2373,"Open from late June to September, call or visit website for hours of operation",http://www.rfamilyfarm.ca,"beans, blackberries, honey, peas, raspberries, strawberries","beans, blackberries, honey, peas, raspberries, strawberries","beans, blackberries, peas, raspberries, strawberries","3560 3 Line, Cookstown, ON L0L 1L0, Canada",3560,3 Line,Innisfil,Simcoe County,Ontario,Canada,44.2236042,-79.6676679
Howe Family Farm Market,N5H 2R4,519-773-3837,"8am to 6pm, 7 days a week",,"apples, beans, beets, blueberries, broccoli, cabbage, carrots, cauliflower, cherries, corn, cucumbers, eggplant, flowers, honey, onions, peaches, pears, peas, peppers, plums, pumpkins, raspberries, squash, strawberries, tomatoes","beans, beets, corn, cucumbers, honey, onions, peas, peppers, pumpkins, raspberries, squash, strawberries, tomatoes",,"7841 Rogers Rd, Aylmer, ON N5H 2R4, Canada",7841,Rogers Road,Aylmer,Elgin County,Ontario,Canada,42.7395504,-81.0090356
Traynor Beef Farms,K9J 6X9,705-876-0044,"January to March: Saturday 12-5pm, April to December: Thursday to Saturday 12-5pm",http://www.traynorbeeffarms.ca,"beef, corn, pumpkins","beef, corn, pumpkins",,"2193 County Rd 2, Peterborough, ON K9J 6X9, Canada",2193,County Road 2,Peterborough,Peterborough County,Ontario,Canada,44.2188512,-78.2563274
Potters Road Berries,N4G 4G7,,,,"raspberries, strawberries","raspberries, strawberries","raspberries, strawberries","145476 Potters Rd, Tillsonburg, ON N4G 4G7, Canada",145476,Potters Road,Tillsonburg,Oxford County,Ontario,Canada,42.8847181,-80.6024891
River Road Farms,K9V 4R4,705-344-0399,call ahead for a farm visit,http://riverroadfarms.ca,"blueberries, garlic, tomatoes, watermelons","blueberries, garlic, tomatoes, watermelons",,"652 River Rd, Lindsay, ON K9V 4R4, Canada",652,River Road,Lindsay,Kawartha Lakes Division,Ontario,Canada,44.281001,-78.7371406
